network_type,canonical_name,dominant_plotline,plotline_count,episode_count,betweenness_full,weighted_degree_full,betweenness_removed,weighted_degree_removed,betweenness_change,community_full,community_removed,community_shifted,cross_scale_community_shift,betweenness_norm,plotline_norm,bridge_score
fine,Richard M. Zhlubb,rocket_endgame,1,1,0.0153827519379844,9.481333333333334,0.01513287401574803,9.481333333333334,-0.00024987792223636965,8,10,True,True,0.048846153846153546,0.1111111111111111,0.3053141025641024
fine,Tantivy Mucker-Maffick,slothrop_london_transition,4,9,0.0,417.4846666666669,0.04625984251968504,155.07200000000003,0.04625984251968504,1,5,True,False,0.0,0.4444444444444444,0.2833333333333333
fine,Gottfried,rocket_endgame,4,7,0.0,136.4353333333333,0.0,136.11599999999996,0.0,3,2,True,False,0.0,0.4444444444444444,0.2833333333333333
fine,Schnorp,slothrop_zone_quest,1,1,0.0,112.31133333333332,0.0,39.398666666666664,0.0,1,4,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,Blodgett Waxwing,slothrop_london_transition,4,7,0.0,99.61333333333336,0.016732283464566927,60.12733333333333,0.016732283464566927,1,5,True,False,0.0,0.4444444444444444,0.2833333333333333
fine,Glimpf,slothrop_zone_quest,1,2,0.0,80.0213333333333,0.0,27.476666666666656,0.0,1,4,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,St. John Bladdery,late_zone_afterlives,1,1,0.0,54.594000000000015,0.0,36.783333333333346,0.0,1,3,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,Albert Krypton,late_zone_afterlives,1,1,0.0,41.068,0.01513287401574803,27.929333333333332,0.01513287401574803,1,3,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,Webley Silvernail,counterforce_science_london,4,6,0.0,39.45,0.0,39.42733333333334,0.0,2,5,True,False,0.0,0.4444444444444444,0.2833333333333333
fine,Dzabajev,tchitcherine_zone_line,1,3,0.0,31.328,0.0,26.461333333333332,0.0,1,4,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,Myrtle,late_zone_afterlives,1,1,0.0,30.922666666666668,0.00012303149606299212,15.63466666666667,0.00012303149606299212,6,7,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,Hogan,slothrop_london_transition,4,7,0.0,29.232000000000003,0.0,9.068666666666667,0.0,1,5,True,False,0.0,0.4444444444444444,0.2833333333333333
fine,Walter Thiel,rocket_system_backstory,1,1,0.0,24.886666666666667,0.0,24.886666666666667,0.0,3,2,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,Maximilian,late_zone_afterlives,1,1,0.0,23.779333333333337,0.015009842519685039,15.18666666666667,0.015009842519685039,6,7,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,Crutchfield,slothrop_london_transition,1,1,0.0,23.23866666666666,0.00012303149606299212,21.687999999999995,0.00012303149606299212,7,9,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,Manuela,late_zone_afterlives,1,1,0.0,22.80333333333333,0.0,22.803333333333335,0.0,1,4,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,Richard Hirsch,rocket_system_backstory,1,1,0.0,18.152666666666665,0.0,18.152666666666665,0.0,3,2,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,"Birdbury, Pharmacist",late_zone_afterlives,1,1,0.0,15.194,0.0,10.126666666666667,0.0,1,3,True,True,0.0,0.1111111111111111,0.2833333333333333
fine,Spontoon,late_zone_afterlives,1,1,0.0,14.128666666666668,0.0,10.97,0.0,2,1,True,True,0.0,0.1111111111111111,0.2833333333333333
